时间,电压V,电流A,温度C,高度m
16:50:14,24.7,1.7,59.1,101.0
16:50:15,24.1,0.6,60.0,135.0
16:50:15,24.6,1.4,51.1,142.0
16:50:16,24.8,1.6,57.1,91.0
16:50:16,24.9,1.0,46.0,140.0
16:50:17,24.7,0.9,36.6,74.0
16:50:17,23.0,1.1,42.2,87.0
16:50:18,23.6,0.6,43.6,84.0
16:50:18,23.2,2.0,43.9,137.0
16:50:19,23.7,2.0,54.4,139.0
16:50:19,23.9,1.8,50.7,74.0
16:50:20,23.8,1.7,56.3,82.0
16:50:20,23.8,1.4,53.5,123.0
16:50:21,23.1,0.5,44.3,54.0
16:50:21,25.0,1.5,31.6,112.0
16:50:22,23.5,1.8,50.1,55.0
16:50:22,23.4,0.7,46.3,59.0
16:50:23,24.6,1.0,38.1,80.0
16:50:23,23.7,2.0,49.1,98.0
16:50:24,23.1,0.8,40.7,140.0
16:50:24,24.2,1.5,51.3,57.0
16:50:25,24.8,1.9,47.0,120.0
16:50:26,24.4,1.4,47.2,134.0
